kategoria_produktu,nazwa,marka,cena_aktualna,cena_regularna,material,fason,ksztalt,rodzaj_dekoltu,dlugosc_rekawa,fason_clean,trend_score
koszulki z krótkim rękawem (męskie),san jose - koszulka polo,indicode jeans san jose,109.99,,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt basic,s.oliver t,89.99,119.0,"80% bawełna, 20% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),essentials - t-shirt basic,siksilk essentials,174.0,204.0,"95% bawełna, 5% elastan",slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,rockshirts,99.0,89.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,j.lindeberg sports,330.0,339.0,100% poliester,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,69.99,229.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,98.0,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),canyons unisex - t-shirt z nadrukiem,billabong canyons unisex,159.0,129.99,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),trail - bluzka z długim rękawem,nike acg trail,359.0,249.0,"88% poliester, 7% wełna, 5% elastan",regular,Prosty,,Bardzo długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,levi's®,199.0,164.99,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,siksilk,204.0,234.0,100% poliester,slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,99.99,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,529.0,179.99,"56% bawełna, 39% poliester, 5% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,lacoste,323.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,71.95,89.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,bershka,129.0,139.0,100% bawełna,regular,Prosty,Serek,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,allsaints,247.0,309.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,scotch & soda,139.0,149.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),kurzarm - t-shirt basic,camel active kurzarm,99.95,119.0,"50% bawełna, 50% poliester",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,jaded london,269.0,,100% bawełna,regular,Prosty,Typu Henley,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),slim fit - koszulka polo,hackett london slim fit,509.0,250.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,the north face,159.0,159.0,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),t-shirt z nadrukiem,helly hansen t,149.0,229.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),icons - t-shirt z nadrukiem,champion icons,98.0,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),reg graphic ss polo - koszulka polo,gant reg graphic ss polo,143.0,409.0,"96% bawełna, 4% elastan",,,,Krótki rękaw,koszulka other,
koszulki z krótkim rękawem (męskie),- koszulka polo,camel active,349.95,199.99,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),t-shirt basic,jp1880 t,160.99,,100% poliester,slim,Prosty,Okrągły,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- koszulka polo,gap,98.0,,"98% bawełna, 2% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- top,adidas originals,109.0,139.0,100% bawełna,regular,Prosty,Okrągły,Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,henry tiger,159.99,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,pepe jeans,139.0,89.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),ben - t-shirt z nadrukiem,les deux ben,242.0,269.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,109.99,249.0,"90% bawełna, 10% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,109.99,249.0,"90% bawełna, 10% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,109.99,249.0,"90% bawełna, 10% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,s.oliver,251.0,89.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,guess,195.0,172.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,guess,195.0,172.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,guess,195.0,172.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,street one men,139.0,89.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,pegador,143.0,,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- t-shirt basic,pegador,143.0,,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- t-shirt basic,pegador,143.0,,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),- koszulka polo,helly hansen,279.0,449.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt basic,blkvis unisex,90.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,jp1880,160.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,helly hansen,279.0,449.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt basic,blkvis unisex,90.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt basic,blkvis unisex,90.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),crocodile caiman - koszulka polo,lacoste crocodile caiman,499.0,249.0,100% bawełna,regular,Dopasowany,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jjearchive - t-shirt basic,jack & jones jjearchive,79.99,74.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jjearchive - t-shirt basic,jack & jones jjearchive,79.99,74.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jjearchive - t-shirt basic,jack & jones jjearchive,79.99,74.99,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,billabong unisex,129.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,nike performance,152.0,169.0,100% poliester,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,billabong unisex,129.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,billabong unisex,129.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,bogner,562.0,,100% bawełna,regular,Prosty,Typu Henley,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),regular fit - t-shirt z nadrukiem,yourturn regular fit,59.0,199.0,100% bawełna,regular,Prosty,Okrągły,Półrękawek,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),essentials - koszulka polo,puma essentials,109.0,149.0,"96% bawełna, 4% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,bogner,562.0,,100% bawełna,regular,Prosty,Typu Henley,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),solheim - koszulka polo,casual friday solheim,129.0,89.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,dropsize,82.0,99.0,100% bawełna,nadwymiarowy,Prosty,Okrągły,Półrękawek,koszulka oversize,22.7
koszulki z krótkim rękawem (męskie),3 pack - koszulka polo,pier one 3 pack,101.0,169.0,100% bawełna,slim,Prosty,,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- koszulka polo,terranova,79.99,84.0,"94% bawełna, 6% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,guess,155.0,119.0,"48% bawełna, 47% modal, 5% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,vans,103.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,urban classics,58.0,,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,mister tee,55.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,nils sundström,99.95,125.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,boggi milano,419.0,249.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,boggi milano,529.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,polo ralph lauren,539.0,599.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- top,jordan,143.0,159.0,"84% poliester, 16% elastan",regular,Prosty,Okrągły,Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),lazer - koszulka sportowa,venum lazer,229.0,139.0,"90% poliester, 10% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),basic - koszulka polo,polo ralph lauren basic,476.0,,100% bawełna,prosty,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,529.0,129.99,"71% bawełna, 29% poliester",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,69.99,69.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,ea7 emporio armani,409.0,359.0,"95% bawełna, 5% elastan",regular,Prosty,,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),tros me - top,blend tros me,60.0,99.0,100% bawełna,regular,Prosty,"Okrągły, głęboko wycięty",Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,armani exchange,229.0,179.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jprwilliam - koszulka polo,jack & jones premium jprwilliam,101.45,144.99,100% bawełna,regular,Prosty,Typu Henley,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),blanes - koszulka polo,farah blanes,360.0,149.99,100% bawełna,slim,Prosty,,Krótki rękaw,koszulka slim fit,32.2
koszulki z krótkim rękawem (męskie),- t-shirt basic,next,104.0,69.0,"94% poliester, 6% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,wasted paris unisex,179.0,,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,jp1880,116.99,,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,nike sportswear,116.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jack & jones,89.99,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,ea7 emporio armani,319.0,189.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),motörhead england - t-shirt z nadrukiem,rockshirts motörhead england,99.0,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,teeshoppen,575.0,229.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),onsperry - t-shirt z nadrukiem,only & sons onsperry,74.0,149.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,nike acg,233.0,359.0,"91% poliester, 5% wełna, 4% elastan",regular fit,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,pull&bear,89.9,149.0,100% bawełna,regular,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,739.0,,"94% bawełna, 6% elastan",regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boggi milano,579.0,254.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,the north face,199.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,mcs,169.99,,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- bluzka z długim rękawem,carhartt wip,179.0,199.0,100% bawełna,regular,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),kelso - t-shirt z nadrukiem,lonsdale kelso,159.0,99.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,boss,769.0,399.0,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,scalpers,137.35,129.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),tee - t-shirt basic,jack & jones tee,69.99,59.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),bradly doppelpack - t-shirt basic,jack & jones bradly doppelpack,129.0,79.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,street one men,89.9,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,s.oliver,69.99,129.0,100% bawełna,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),shrunken - t-shirt basic,weekday shrunken,109.0,109.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,wrangler,179.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),amorphis halo - t-shirt z nadrukiem,rockshirts amorphis halo,99.0,79.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka sportowa,hummel,159.0,,100% poliester,regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),uni - koszulka polo,calvin klein golf uni,289.0,389.0,"52% bawełna, 45% poliester, 3% elastan",loose fit,Prosty,,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),ac/dc for those about to rock - t-shirt z nadrukiem,rockshirts ac/dc for those about to rock,99.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,puma,129.99,139.0,"60% bawełna, 40% poliester",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,wrangler,119.0,75.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka sportowa,quiksilver,98.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,napapijri,108.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,ecoalf,159.0,159.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,ea7 emporio armani,359.0,409.0,"53% bawełna, 42% poliester, 5% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,adidas sportswear,109.0,99.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka polo,we fashion,259.0,187.99,100% bawełna,regular,Prosty,,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),bermuda baldwin - t-shirt z nadrukiem,malbon bermuda baldwin,379.0,379.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),hypercourt - t-shirt z nadrukiem,k,98.0,179.0,"84% poliester, 16% elastan",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,dropsize,82.0,99.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),small signature pinstripe - t-shirt z nadrukiem,karl kani small signature pinstripe,118.0,159.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- koszulka sportowa,hummel,101.7,,100% poliester,regular,Zwężany,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),sdbedo - t-shirt basic,solid sdbedo,56.0,89.0,"60% bawełna, 40% poliester",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,jack & jones,308.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,roberto cavalli,1779.0,3129.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),javari unisex - t-shirt z nadrukiem,don't waste culture javari unisex,144.0,319.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,tommy jeans,169.0,169.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),utility - koszulka sportowa,under armour utility,179.0,199.0,100% poliester,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,massimo dutti,129.0,319.0,"80% bawełna, 20% wiskoza",regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),slmcormac - t-shirt basic,selected slmcormac,161.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,jack & jones,257.0,149.0,"92% bawełna, 8% elastan",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),cliffside - t-shirt z nadrukiem,rossignol cliffside,188.0,99.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),onsmaradona - t-shirt z nadrukiem,only & sons onsmaradona,74.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,obey clothing,159.0,199.0,100% bawełna,regular fit,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,les benjamins unisex,379.0,559.0,100% bawełna,loose fit,Prosty,Okrągły,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,gap,159.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,champion,170.0,269.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,champion,149.0,119.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt z nadrukiem,tommy jeans unisex,152.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- top,icaniwill,103.0,159.0,"90% poliester, 10% elastan",regular,Prosty,Okrągły,Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),unisex - t-shirt basic,ea7 emporio armani unisex,269.0,139.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,koroshi,199.0,139.0,"95% bawełna, 4% poliester, 1% elastan",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,the north face,206.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,karl lagerfeld,350.0,,"95% bawełna, 5% elastan",regular,Prosty,Wycięcie typu V,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),le vrai edouard unisex - t-shirt basic,k,161.0,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,joules,134.0,129.0,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),jjeurban - t-shirt z nadrukiem,jack & jones jjeurban,71.95,89.99,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- top,ea7 emporio armani,224.0,,100% bawełna,regular,Prosty,Okrągły,Bez rękawów,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,vertere berlin,130.0,259.0,100% bawełna,loose fit,Prosty,Wycięcie na plecach,Półrękawek,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt basic,carhartt wip,179.0,159.0,100% bawełna,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,jp1880,213.99,,100% bawełna,regular,Prosty,Okrągły,Krótki rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),- t-shirt z nadrukiem,pier one,69.0,79.0,100% bawełna,regular,Prosty,Okrągły,Długi rękaw,koszulka regular fit,3.33
koszulki z krótkim rękawem (męskie),nikecourt - koszulka polo,nike performance nikecourt,189.0,189.0,100% poliester,loose fit,Prosty,Okrągły,Krótki rękaw,koszulka loose fit,3.33
